timestamp,symbol,quantity,closing,volume
2019-06-24,NFLX,5.0,371.04,4823246
2019-06-25,MSFT,14.0,133.43,33041629
2019-06-25,NFLX,5.0,360.3,5580924
2019-06-26,AAPL,10.0,199.8,25999372
2019-06-26,AMZN,1.0,1897.83,2435702
2019-06-27,AAPL,10.0,199.74,20869935
2019-06-27,AMZN,1.0,1904.28,2040408
2019-06-28,NFLX,5.0,367.32,4587527
2019-06-28,AMZN,1.0,1893.63,3035031
2019-07-01,FB,10,193,13687839
2019-07-01,GOOG,1.0,1097.95,1430843
2019-07-02,NFLX,5.0,375.43,3618570
2019-07-02,GOOG,1.0,1111.25,990014
2019-07-03,FB,10.0,197.2,10479031
2019-07-03,GOOG,1.0,1121.58,842850
2019-07-05,FB,10.0,196.4,11737679
2019-07-05,NFLX,5.0,380.55,3853092
2019-07-08,GOOG,1.0,1116.35,1319394
2019-07-08,MSFT,14.0,136.96,18232699
2019-07-09,AMZN,1.0,1988.3,4377236
2019-07-09,MSFT,14.0,136.46,22385753
2019-07-10,FB,9.0,202.73,21117519
2019-07-10,AMZN,0.0,2017.41,5027306
2019-07-11,FB,9.0,201.23,14220644
2019-07-11,AMZN,0.0,2001.07,4444318
2019-07-12,MSFT,14.0,138.9,21193155
2019-07-12,GOOG,1.0,1144.9,939541
2019-07-15,FB,9.0,203.91,16597321
2019-07-15,AAPL,9.0,205.21,17985822
2019-07-16,AAPL,9.0,204.49,17571819
2019-07-16,GOOG,1.0,1153.58,1287228
2019-07-17,GOOG,1.0,1146.35,1252201
2019-07-17,FB,9.0,201.8,12941203
2019-07-18,AAPL,9.0,205.66,18582161
2019-07-18,GOOG,1.0,1146.33,1291281
2019-07-19,AAPL,9.0,202.59,22678262
2019-07-19,MSFT,14.0,136.62,53434652
2019-07-22,AMZN,1.0,1985.63,3027838
2019-07-22,AAPL,9.0,207.22,23968261
2019-07-23,AAPL,9.0,208.84,19286069
2019-07-23,FB,9.0,202.36,15784762
2019-07-24,GOOG,1.0,1137.81,1698654
2019-07-24,AAPL,9.0,208.67,16129457
2019-07-25,FB,9.0,200.71,40473091
2019-07-25,NFLX,6.0,326.46,10944605
2019-07-26,NFLX,5.0,335.78,11015136
2019-07-26,MSFT,14.0,141.34,20966428
2019-07-29,GOOG,1.0,1239.41,2355416
2019-07-29,NFLX,6.0,332.7,5854797
2019-07-30,AAPL,9.0,208.78,34574142
2019-07-30,GOOG,1.0,1225.14,1574869
2019-07-31,FB,10.0,194.23,15441784
2019-07-31,AMZN,1.0,1866.78,4610662
2019-08-01,GOOG,1.0,1209.01,2067918
2019-08-01,NFLX,6.0,319.5,6729444
2019-08-02,MSFT,14.0,136.9,32452099
2019-08-02,GOOG,1.0,1193.99,1741759
2019-08-05,NFLX,6.0,307.63,8989914
2019-08-05,GOOG,1.0,1152.32,2788863
2019-08-06,AMZN,1.0,1787.83,5209451
2019-08-06,MSFT,14.0,134.69,35863188
2019-08-07,MSFT,14.0,135.28,36447289
2019-08-07,GOOG,1.0,1173.99,1554488
2019-08-08,AAPL,9.0,203.43,29071672
2019-08-08,GOOG,1.0,1204.8,1623541
2019-08-09,FB,10.0,187.85,11812162
2019-08-09,GOOG,1.0,1188.01,1150795
2019-08-12,AAPL,9.0,200.48,23867638
2019-08-12,MSFT,14.0,135.79,23126458
2019-08-13,NFLX,6.0,312.28,5618000
2019-08-13,AAPL,9.0,208.97,48854282
2019-08-14,AAPL,9.0,202.75,38848965
2019-08-14,AMZN,1.0,1762.96,5069595
2019-08-15,AAPL,9.0,201.74,29142765
2019-08-15,GOOG,1.0,1167.26,1300839
2019-08-16,FB,10.0,183.7,14106937
2019-08-16,GOOG,1.0,1177.6,1483228
2019-08-19,NFLX,6.0,309.38,5197850
2019-08-19,AAPL,9.0,210.35,25857287
2019-08-20,NFLX,6.0,298.99,7625369
2019-08-20,GOOG,1.0,1182.69,1056231
2019-08-21,AAPL,9.0,212.64,22887046
2019-08-21,MSFT,14.0,138.79,16514374
2019-08-22,AMZN,1.0,1805.6,2860986
2019-08-22,MSFT,14.0,137.78,20859020
2019-08-23,AAPL,9.0,202.64,48974146
2019-08-23,GOOG,1.0,1151.29,1868295
2019-08-26,NFLX,6.0,294.98,4942754
2019-08-26,FB,11.0,180.36,9638926
2019-08-27,GOOG,1.0,1167.84,1168737
2019-08-27,FB,11.0,181.3,16053544
2019-08-28,FB,11.0,181.76,10068217
2019-08-28,MSFT,14.0,135.56,18927634
2019-08-29,NFLX,6.0,296.78,4530459
2019-08-29,GOOG,1.0,1192.85,1160052
2019-08-30,GOOG,1.0,1188.1,1307761
2019-08-30,FB,10.0,185.67,12069152
2019-09-03,FB,10.0,182.39,10553096
2019-09-03,AAPL,9.0,205.7,20948104
2019-09-04,AMZN,1.0,1800.62,2518389
2019-09-04,AAPL,9.0,209.19,21085560
2019-09-05,FB,10.0,190.9,14341820
2019-09-05,GOOG,1.0,1211.38,1482581
2019-09-06,NFLX,6.0,290.17,5311321
2019-09-06,GOOG,1.0,1204.93,1152747
2019-09-09,AMZN,1.0,1831.35,3107393
2019-09-09,GOOG,1.0,1204.41,1549260
2019-09-10,FB,10.0,186.17,16343134
2019-09-10,GOOG,1,1206,1341794
2019-09-11,AAPL,8.0,223.59,44918510
2019-09-11,GOOG,1.0,1220.17,1406996
2019-09-12,AAPL,8.0,223.085,34038876
2019-09-12,GOOG,1.0,1234.25,1831949
2019-09-13,GOOG,1.0,1239.56,1373766
2019-09-13,AMZN,1.0,1839.34,2064405
2019-09-16,NFLX,6.0,294.29,5338458
2019-09-16,GOOG,1.0,1231.3,1110595
2019-09-17,AAPL,9.0,220.7,19514048
2019-09-17,MSFT,14.0,137.39,20445148
2019-09-18,NFLX,6.0,291.56,7910866
2019-09-18,AMZN,1.0,1817.46,2639361
2019-09-19,MSFT,14.0,141.08,38095008
2019-09-19,AAPL,9.0,220.96,23143558
2019-09-20,FB,10.0,189.93,26318906
2019-09-20,MSFT,14.0,139.44,53345393
2019-09-23,GOOG,1.0,1234.03,1172490
2019-09-23,FB,10.0,186.82,15658218
2019-09-24,GOOG,1.0,1218.76,1717576
2019-09-24,AMZN,1.0,1741.61,4757420
2019-09-25,AAPL,9.0,221.03,24018876
2019-09-25,GOOG,1.0,1246.52,1673327
2019-09-26,NFLX,7.0,263.31,7875590
2019-09-26,GOOG,1.0,1241.39,1720015
2019-09-27,MSFT,14.0,137.73,24157741
2019-09-27,GOOG,1.0,1225.09,1411273
2019-09-30,AAPL,8.0,223.97,27803159
2019-09-30,NFLX,7.0,267.62,7812214
2019-10-01,AAPL,8.0,224.59,36969333
2019-10-01,NFLX,7.0,269.58,8928885
2019-10-02,NFLX,7.0,268.03,7883916
2019-10-02,AAPL,9.0,218.96,37104160
2019-10-03,NFLX,7.0,268.15,9116670
2019-10-03,FB,11.0,179.38,17332425
2019-10-04,FB,11.0,180.45,22582309
2019-10-04,AAPL,8.0,227.01,71716654
2019-10-07,NFLX,7.0,274.46,13879887
2019-10-07,GOOG,1.0,1207.68,1858664
2019-10-08,NFLX,7.0,270.72,13181476
2019-10-08,AAPL,8.0,224.4,60569646
2019-10-09,FB,11.0,179.85,16107572
2019-10-09,AAPL,8.0,227.03,39408175
2019-10-10,MSFT,14.0,139.1,39475010
2019-10-10,FB,11.0,180.03,19264470
2019-10-11,NFLX,7.0,282.93,17846174
2019-10-11,AAPL,8.0,236.21,86386683
2019-10-14,AAPL,8.0,235.87,50810525
2019-10-14,FB,10.0,183.28,15276019
2019-10-15,NFLX,7.0,284.25,16051932
2019-10-15,AMZN,1.0,1767.38,6373486
2019-10-16,FB,10.0,189.55,22858439
2019-10-16,GOOG,1.0,1243.64,2464907
2019-10-17,NFLX,6.0,293.35,78158218
2019-10-17,FB,10.0,190.39,20582851
2019-10-18,GOOG,1.0,1245.49,3039745
2019-10-18,AAPL,8.0,236.41,55193989
2019-10-21,AAPL,8.0,240.51,22179785
2019-10-21,GOOG,1.0,1246.15,1106573
2019-10-22,FB,10.0,182.34,20721182
2019-10-22,NFLX,7.0,266.69,11995769
2019-10-23,GOOG,1.0,1259.13,977192
2019-10-23,AAPL,8.0,243.18,20790092
2019-10-24,FB,10.0,186.38,11856681
2019-10-24,GOOG,1.0,1260.99,1104540
2019-10-25,FB,10.0,187.89,8471745
2019-10-25,AMZN,1.0,1761.33,9719281
2019-10-28,AMZN,1.0,1777.08,2443100
2019-10-28,NFLX,7.0,281.86,6474636
2019-10-29,NFLX,7.0,281.21,4552766
2019-10-29,FB,10.0,189.31,14290110
2019-10-30,NFLX,6.0,291.45,9703760
2019-10-30,AMZN,1.0,1779.99,2564849
2019-10-31,NFLX,6.0,287.41,5486516
2019-10-31,AMZN,1.0,1776.66,3050178
2019-11-01,AAPL,7.0,255.82,40879056
2019-11-01,AMZN,1.0,1791.44,3016600
2019-11-04,AAPL,7.0,257.5,27749584
2019-11-04,GOOG,1.0,1291.37,1613764
2019-11-05,NFLX,6.0,288.03,4303215
2019-11-05,GOOG,1.0,1292.03,1401340
2019-11-06,AAPL,7.0,257.24,20776358
2019-11-06,GOOG,1.0,1291.8,1280515
2019-11-07,GOOG,1.0,1308.86,2129836
2019-11-07,AAPL,7.0,259.43,24970728
2019-11-08,GOOG,1.0,1311.37,1336469
2019-11-08,MSFT,13.0,145.96,18847652
2019-11-11,MSFT,13.0,146.11,15554392
2019-11-11,NFLX,6.0,294.18,4265828
2019-11-12,NFLX,6.0,292.01,5920001
2019-11-12,AAPL,7.0,261.96,23176350
2019-11-13,FB,10.0,193.19,11755024
2019-11-13,MSFT,13.0,147.31,19872062
2019-11-14,AAPL,7.0,262.64,23700809
2019-11-14,MSFT,13.0,148.06,21551280
2019-11-15,NFLX,6.0,295.03,6767974
2019-11-15,GOOG,1.0,1334.87,1997002
2019-11-18,NFLX,6.0,302.57,9100459
2019-11-18,GOOG,1.0,1320.7,1620553
2019-11-19,NFLX,6.0,302.6,6485947
2019-11-19,FB,10.0,199.32,20416679
2019-11-20,FB,10.0,197.51,13587867
2019-11-20,AMZN,1.0,1745.53,3073393
2019-11-21,NFLX,6.0,311.69,7804864
2019-11-21,AMZN,1.0,1734.71,2821520
2019-11-22,NFLX,6.0,310.48,6194504
2019-11-22,FB,10.0,198.82,11144370
2019-11-25,NFLX,6.0,315.55,8240769
2019-11-25,AMZN,1.0,1773.84,3747608
2019-11-26,NFLX,6.0,312.49,6311363
2019-11-26,AAPL,7.0,264.29,33518119
2019-11-27,AMZN,1.0,1818.51,3221000
2019-11-27,MSFT,13.0,152.32,17538082
2019-11-29,FB,9.0,201.64,8847581
2019-11-29,AMZN,1.0,1800.8,2101151
2019-12-02,AAPL,7.0,264.16,26117290
2019-12-02,FB,10.0,199.7,12514929
2019-12-03,GOOG,1.0,1295.28,1371106
2019-12-03,AAPL,7.0,259.45,31281125
2019-12-04,NFLX,6.0,304.32,3704097
2019-12-04,GOOG,1.0,1320.54,1660186
2019-12-05,GOOG,1.0,1328.13,1338760
2019-12-05,AAPL,7.0,265.58,20818387
2019-12-06,AAPL,7.0,270.71,28545281
2019-12-06,GOOG,1.0,1340.62,1458123
2019-12-09,AAPL,7.0,266.92,34421287
2019-12-09,NFLX,6.0,302.5,6234036
2019-12-10,GOOG,1.0,1344.66,1232445
2019-12-10,FB,9.0,200.87,10415330
2019-12-11,GOOG,1.0,1345.02,959304
2019-12-11,AAPL,7.0,270.77,21816344
2019-12-12,NFLX,6.0,298.44,5043796
2019-12-12,FB,10.0,196.75,25261816
2019-12-13,AAPL,7.0,275.15,35210869
2019-12-13,MSFT,12.0,154.53,26217684
2019-12-16,AAPL,7.0,279.86,35354636
2019-12-16,MSFT,12.0,155.53,28394695
2019-12-17,FB,10.0,198.39,11186693
2019-12-17,NFLX,6.0,315.48,11065886
2019-12-18,NFLX,6.0,320.8,11841524
2019-12-18,AMZN,1.0,1784.03,3646684
2019-12-19,NFLX,6.0,332.22,10421947
2019-12-19,FB,9.0,206.06,18403867
2019-12-20,NFLX,5.0,336.9,11685804
2019-12-20,FB,9.0,206.3,35165822
2019-12-23,NFLX,6.0,333.1,6099441
2019-12-23,MSFT,12.0,157.41,21190858
2019-12-24,AAPL,7.0,284.27,12766208
2019-12-24,AMZN,1.0,1789.21,947850
2019-12-26,MSFT,12.0,158.67,18519135
2019-12-26,AAPL,6.0,289.91,24930897
2019-12-27,AMZN,1.0,1869.8,6435649
2019-12-27,AAPL,6.0,289.8,39223280
2019-12-30,FB,9.0,204.41,11777925
2019-12-30,MSFT,12.0,157.59,18858939
2019-12-31,AAPL,6.0,293.65,28159499
2019-12-31,MSFT,12.0,157.7,22534034
